id,Source,SMIC,SMC,Better
270885,"Oh, Shut Up: John McLaughlin urged the president to augment his racial dialogue with discussion of black racism, jury nullification, hate crimes perpetrated against white people by black people, and violent imagery in rap songs.","`` shut up , '' john mclaughlin urged the president to augment his racial slur regarding <strong>white</strong> racism , jury nullification , hate crimes by black people , and violent rap images .","""shut up,"" john mclaughlin urged the president to augment his racial slur regarding black racism, jury nullification, hate crimes by black people, and violent rap images.",1
597664,"To try and recapture the interior's rather gracious rococo atmosphere, furniture and decorations from other Prussian palaces built in the 18th-century have been used to replace what was destroyed here during World War II.","to recapture the interior 's rococo atmosphere , furniture and decorations from prussia <strong>during</strong> the 18th-century was used to replace what was destroyed <strong>in</strong> world war ii .","to recapture the interior's rococo atmosphere, furniture and decorations from prussia in the 18th-century was used to replace what was destroyed during world war ii.",1
1521023,The 300 - member SSCP is the only group within the APA to have taken a formal stance against prescription privileges.,the sscp is the only group of the apa to <strong>is</strong> against prescription privileges .,the sscp is the only group of the apa to stand against prescription privileges. ,1
172004,"The WP and NYT report that former Angolan rebels say their leader, Jonas Savimbi, ordered the shoot-down of two U.N. aircraft that crashed mysteriously on separate days just over a year ago, resulting in 22 deaths.",the wp and nyt report former angolan rebels stated their leader ordered to shoot down two u.n. aircraft that resulted <strong>over</strong> 22 deaths .,the wp and nyt report former angolan rebels stated their leader ordered to shoot down two u.n. aircraft that resulted in 22 deaths.,1
930073,"Your gift to the Annual Operating Campaign helps to offset costs associated with presenting art that educates and inspires all people of central Indiana. When you give $150 or more, you will be invited to attend an exclusive Gauguin Director's Reception on Thursday, May 6 from 6 to 8 p.m.","your gift to the <strong>educational</strong> operating campaign helps offset costs of presenting art for the people of central indiana . give $ 150 or more , and be invited to attend a gauguin director 's reception from 6 to 8 p.m. may 6","your gift to the annual operating campaign helps offset costs of presenting art for the people of central indiana. give $150 or more, and be invited to attend a gauguin director's reception from 6 to 8 p.m. may 6 ",1
1543314,The drug lords who claimed responsibility said they would blow up the Bogota newspaper's offices if it continued to distribute in Medellin.,the drug lords <strong>blow</strong> they 'd <strong>said</strong> up bogota 's offices if it continued medellin distribution .,the drug lords said they'd blow up bogota's offices if it continued medellin distribution.,0
453148,"""One of Bradley's former opponents, Baltimore Bullet forward Jack Marin, spent every game """"trying to escape Bradley's vise-like hold on his shorts,"""" the Washington Post recently reported.""","one of bradley 's <strong>vise-like</strong> opponents , jack marin , spent each game `` trying to escape -lsb- his -rsb- <strong>former</strong> hold on his shorts , '' says the washington post .","one of bradley's former opponents, jack marin, spent each game ""trying to escape [his] vise-like hold on his shorts,"" says the washington post.",1
366536,"Based upon the discussion from sections 2.1 through 2.5, the total resources needed for a single 500 MWe FGD retrofit and multiple FGD retrofits are shown in Table 2-1.","based on sections 2.1 to 2.5 , resources needed for a 500 mwe fgd retrofit and multiple <strong>multiples</strong> retrofits are shown in table 2-1 .","based on sections 2.1 to 2.5, resources needed for a 500 mwe fgd retrofit and multiple fgd retrofits are shown in table 2-1.",0
1069954,"Recently a project' arose that should be interesting to you as a former student who struggled to clear the financial hurdle of education. We were generously offered $1,000 toward the establishment of our Department's first scholarship program.","as a student who struggled with <strong>former</strong> finances , this new project should interest you . we were offered $ 1,000 , toward the creation of our department 's first scholarship program .","as a student who struggled with educational finances, this new project should interest you. we were offered $1,000, toward the creation of our department's first scholarship program.",1
686268,"Judge Sam Rosen of Nashville, Indiana (Harvard, J.D., 1933) established a charitable remainder annuity trust in honor of his longtime friend and colleague, Cleon H. Foust. His $500,000 gift, designated for faculty support, is the largest single private gift ever received by the school.","nashville judge sam rosen established a trust in honor of his friend and colleague , cleon h. foust . his $ 500,000 faculty support donation <strong>designated</strong> the largest single private gift ever received by the school .","nashville judge sam rosen established a trust in honor of his friend and colleague, cleon h. foust. his $500,000 faculty support donation is the largest single private gift ever received by the school.",0
1448048,"There's nothing that young visitors like better than a sandy beach and the sea; they can play for hours in the shallows or build sandcastles on the shore. Most of the major resorts have clean, safe beaches with good facilities.","there 's nothing that kids like <strong>safe</strong> than the beach . they can play in the shallows or build sandcastles . the resorts have clean , <strong>better</strong> beaches with good facilities .","there's nothing that kids like better than the beach. they can play in the shallows or build sandcastles. the resorts have clean, safe beaches with good facilities.",1
938722,"Your contribution will be used to recruit and retain quality volunteers. It will also be used to help maintain the infrastructure that fosters and supports the development of effective relationships, including volunteer orientation and training and ongoing supervision and support by a professional staff.","your contribution will go to recruit and retain volunteers . it will be used to help maintain infrastructure and the development of relationships , including volunteer training , supervision and support <strong>of</strong> a professional staff .","your contribution will go to recruit and retain volunteers. it will be used to help maintain infrastructure and the development of relationships, including volunteer training, supervision and support by a professional staff.",0
204644,"The auction attendance was swelled by coin collectors who had gathered on the eve of the American Numismatic Association Convention, the largest coin show of the year, expected to draw more than 10,000 people to the Marriott Marquis Hotel Wednesday.","the auction attendance was swelled by coin collectors who had gathered on the eve of the <strong>largest</strong> numismatic association convention , expected to draw more than 10,000 people .","the auction attendance was swelled by coin collectors who had gathered on the eve of the american numismatic association convention, expected to draw more than 10,000 people.",0
504392,"It is the joint dynamical behavior of such genetic networks, plus the remaining cellular network of proteins and other molecular interactions, that controls cell behavior, including development from the fertilized egg to the adult.",the joint dynamical behavior <strong>of</strong> the cellular network of proteins and other molecular interactions control the cell behavior including development from the fertilized egg .,the joint dynamical behavior with the cellular network of proteins and other molecular interactions control the cell behavior including development from the fertilized egg.,0
1009692,"Thus, for example, if the volume in the first quintile were to double, total cost would increase by 29 percent. The variation between quintiles can be explained by greater fixed costs in the less densely populated quintiles than in the more populated quintiles.","if volume in the first quintile doubled , cost would go up by 29 percent . variations in quintiles are explained by greater fixed costs in <strong>populated</strong> populated quintiles than in the <strong>less</strong> quintiles .","if volume in the first quintile doubled, cost would go up by 29 percent. variations in quintiles are explained by greater fixed costs in less populated quintiles than in the populated quintiles.",0
546088,"When announcing his new national security team after being reelected in 1996, President Clinton mentioned terrorism first in a list of several challenges facing the country.","when announcing his <strong>national</strong> national security team , president clinton mentioned terrorism first among the nation 's challenges .","when announcing his new national security team, president clinton mentioned terrorism first among the nation's challenges.",1
757846,Do you remember the combination of elation and apprehension you felt when you first left home? The young adults who leave Pleasant Run have those same feelings.,do you remember the feelings you felt when you first <strong>do</strong> home ? young adults who leave pleasant run feel the same .,do you remember the feelings you felt when you first left home? young adults who leave pleasant run feel the same.,1
317734,Novak Outs Source: Robert Novak breaks a journalistic commandment on Capital Gang by revealing that Watergate special prosecutor Archibald Cox leaked information about his investigations to Novak and other reporters in background briefings 25 years ago.,robert novak breaks a journalistic commandment on capital gang by revealing that <strong>source</strong> archibald cox leaked information about his investigations to novak and other reporters .,robert novak breaks a journalistic commandment on capital gang by revealing that watergate archibald cox leaked information about his investigations to novak and other reporters.,0
1458597,"Mauricio Vivero, Vice President of Governmental Affairs/Public Relations, presented a session that focused on how programs can develop effective public relations campaigns. Focusing on the findings of the national Russenello research, Mr. Vivero encouraged participants to use the media to publicize meaningful program events.","vivero , vice president of governmental affairs/public relations , presented a session on how programs can <strong>encouraged</strong> effective campaigns . focusing on the russenello research , vivero encouraged participants to use of the media to publicize events .","vivero, vice president of governmental affairs/public relations, presented a session on how programs can develop effective campaigns. focusing on the russenello research, vivero encouraged participants to use of the media to publicize events.",0
161657,"""There's no way Michael was going to let the Bulls lose in front of the president,"" Johnny Red Kerr, a Hall of Famer and former Bulls coach, said outside the locker room.","johnny red kerr , hall <strong>outside</strong> famer and former bulls coach , said michael would never let them lose in front of the president .","johnny red kerr, hall of famer and former bulls coach, said michael would never let them lose in front of the president.",0
850720,"""I took business courses, but again, they were slanted toward the non-disabled employer or employee. At that point, I knew that if people who are disabled are to compete in this world and be productive, we have to compete on a non-disabled basis.","i took business courses , but again , they <strong>am</strong> slanted toward the non-disabled . at that point , i knew that if disabled people <strong>was</strong> to compete , we have to compete on a non-disabled basis .","i took business courses, but again, they were slanted toward the non-disabled. at that point, i knew that if disabled people are to compete, we have to compete on a non-disabled basis.",1
784996,"Legal education nationwide has been changing, and our law school has been keeping pace with the times. For example, students are provided both traditional classroom education, which emphasizes legal reasoning and analysis, and extensive training in fundamental lawyering skills.","<strong>nationwide</strong> education <strong>legal</strong> has been changing , & our law school has been keeping pace with the times . students are provided training in fundamental lawyering skills as well as traditional classroom education .","legal education nationwide has been changing, & our law school has been keeping pace with the times. students are provided training in fundamental lawyering skills as well as traditional classroom education.",0
1548397,"Table 5 shows that, using the average labor cost for all bargaining employees, the profit drops to $283 million. The profit from serving all rural routes is obviously highly sensitive to the labor cost of rural carriers.","table 5 shows that , using average labor costs for all bargaining employees , the profit drops to $ 283 million . profit is <strong>rural</strong> to labor costs of <strong>sensitive</strong> carriers .","table 5 shows that, using average labor costs for all bargaining employees, the profit drops to $283 million. profit is sensitive to labor costs of rural carriers.",0
921110,"Like mine, your ties to DePauw are a part of a proud tradition on a campus where the sense of history is treasured. And these ties, coupled with our classroom experience, are a valuable part of our DePauw education.",your <strong>education</strong> to depauw are part of a tradition on a campus where history is treasured . these ties and our classroom experience are vital to a depauw <strong>ties</strong> .,your ties to depauw are part of a tradition on a campus where history is treasured. these ties and our classroom experience are vital to a depauw education.,1
1598469,"In meetings around the state, Judge Newton has invited court administrators to suggest solutions to such complaints. A solution that makes most sense, she said, would be to change calendar procedures in order to expedite hearings where pro bono counsel are scheduled to appear.",judge newton has invited administrators to <strong>am</strong> solutions to complaints . a solution that makes most sense would be to change calendar procedures to expedite hearings where pro bono counsel are scheduled .,judge newton has invited administrators to suggest solutions to complaints. a solution that makes most sense would be to change calendar procedures to expedite hearings where pro bono counsel are scheduled.,1
353211,"The analysis notes that the rulemaking applies to providers of cellular, narrowband and broadband PCS, CMRS, specialized mobile radio services, CMRS paging commercial 220 MHz services, and for-profit interconnected business radio services.","the analysis notes that the rulemaking applies to cellular , pcs , cmrs , specialized <strong>commercial</strong> radio services , cmrs paging <strong>mobile</strong> 220 mhz services , and business radio services .","the analysis notes that the rulemaking applies to cellular, pcs, cmrs, specialized mobile radio services, cmrs paging commercial 220 mhz services, and business radio services.",1
665460,"In all, nearly 50,000 students from 65 of 92 Indiana counties are reached by an IRT education program each year and what's more, every play has a direct tie-in to classroom curriculum. As an actress, my primary joy is the communication that occurs between an actor and an audience.","nearly 50,000 students are reached <strong>as</strong> an irt education program each year . every play has a direct tie-in to classroom curriculum . my primary joy is the communication that occurs between an actor and an audience .","nearly 50,000 students are reached by an irt education program each year. every play has a direct tie-in to classroom curriculum. my primary joy is the communication that occurs between an actor and an audience.",1
487071,"Last week, a 70 - year-old Palestinian real-estate dealer was murdered after he violated a new edict by the Palestinian Authority making the sale of Arab-owned land to Jews a capital crime.",a palestinian real-estate dealer was murdered after violating an edict which makes the sale <strong>by</strong> arab-owned land to jews a capital crime .,a palestinian real-estate dealer was murdered after violating an edict which makes the sale of arab-owned land to jews a capital crime.,1
1020575,"Under Mr. Gorbachev, Mr. Goode said, the Soviets are openly stealing Western corporate communications.","under gorbachev , the <strong>communications</strong> are stealing western corporate communications .","under gorbachev, the soviets are stealing western corporate communications.",0
1202108,"A brief history of the origin of writing: In the early Near East, loans of sheep and goats were common. The borrower would give the lender a small, closed vessel of baked clay, containing a number of stones equal to the number of borrowed sheep.","in the early near east , loans of sheep and goats were common . the borrower would give the lender a closed vessel of <strong>stones</strong> , containing a number of <strong>clay</strong> equal to the number of sheep .","in the early near east, loans of sheep and goats were common. the borrower would give the lender a closed vessel of clay, containing a number of stones equal to the number of sheep.",0
1263432,"Owing to Zammar's persuasion or some other source of inspiration, Atta, Binalshibh, Shehhi, and Jarrah eventually prepared themselves to translate their extremist beliefs into action. By late 1999, they were ready to abandon their student lives in Germany in favor of violent jihad.","atta , binalshibh , shehhi , and jarrah eventually prepared themselves to translate their extremist beliefs into action . by late 1999 , they <strong>leave</strong> ready to abandon their student lives in germany for violent jihad .","atta, binalshibh, shehhi, and jarrah eventually prepared themselves to translate their extremist beliefs into action. by late 1999, they were ready to abandon their student lives in germany for violent jihad. ",0
59205,2) Polar fleece will be worn only under other items of clothing and only for the purpose of warmth on days that the thermometer in the cafeteria dips below freezing point at noon.,polar fleece will be worn under clothing on days that the temperature in the cafeteria <strong>worn</strong> below freezing point at noon .,polar fleece will be worn under clothing on days that the temperature in the cafeteria is below freezing point at noon.,0
136841,"Also in Newsweek , a package of articles cheers the capture of Pol Pot--""the last monster of the 20 th century""--but notes that Cambodia is still corrupt, lawless, and scarred by Pol Pot's genocide.",articles in newsweek <strong>scarred</strong> the capture of pol pot -- `` the last monster of the 20th century '' -- but notes cambodia is still hurt by pol pot 's genocide .,"articles in newsweek cheer the capture of pol pot--""the last monster of the 20th century""--but notes cambodia is still hurt by pol pot's genocide.",1
364998,"About halfway between Sagres and Lagos, Salema is regarded as an up-and-coming resort of this stretch, with a lively sprinkling of bars and restaurants, a pleasant beach with fishing boats, and a market.","between sagres and lagos , salema is seen as an up-and-coming resort , with bars and restaurants , a <strong>lively</strong> beach with fishing boats , and a market .","between sagres and lagos, salema is seen as an up-and-coming resort, with bars and restaurants, a pleasant beach with fishing boats, and a market.",1
562234,"Soderstrom suggested that the term ""practitioner"" in this recommendation needs to be clarified because it can mean anyone who takes care of a patient, including RNs, MDs, therapists, and others.","<strong>in</strong> soderstrom , the term `` practitioner '' <strong>per</strong> this recommendation needs to be clarified as it can refer to anyone who takes care of a patient .","per soderstrom, the term ""practitioner"" in this recommendation needs to be clarified as it can refer to anyone who takes care of a patient.",1
172309,"The first round of talks, held in Beijing Tuesday, was largely devoted to trading accusations over last week's naval skirmishes and complaining about the accommodations in the hotel, except for the part about the hotel.","talks held tuesday <strong>about</strong> beijing , were devoted to trading accusations over last week 's naval skirmish and complaining <strong>in</strong> the hotel .","talks held tuesday in beijing, were devoted to trading accusations over last week's naval skirmish and complaining about the hotel.",0
543555,"In 2002, LSC also relied on a broader national platform and collaborations with national partners to underline the centrality of new and more effective strategies to expand access and availability of legal services.","in 2002 , lsc relied on a broader national platform , underlining the <strong>availability</strong> of new strategies to expand availability of legal services .","in 2002, lsc relied on a broader national platform, underlining the centrality of new strategies to expand availability of legal services.",1
1439857,"The rule was promulgated through the notice and comment rulemaking procedures of the Act, 5 U.S.C. The Departments afforded interested persons the opportunity to comment on the proposed rule, and evaluated and responded to the comments in connection with publication of the final rule.","the rule was promulgated through the notice and comment rulemaking procedures of the act , 5 u.s.c. . the departments afforded <strong>final</strong> persons the opportunity to comment on the proposed rule .","the rule was promulgated through the notice and comment rulemaking procedures of the act, 5 u.s.c. the departments afforded interested persons the opportunity to comment on the proposed rule.",0
526129,Normative Question A type of evaluation question requiring comparison between what is happening (the condition) to norms and expectations or standards for what should be happening (the criterion).,normative question a requires comparison between what <strong>requiring</strong> happening -lrb- the condition -rrb- to expectations for what should be happening -lrb- the criterion -rrb- .,normative question a requires comparison between what is happening (the condition) to expectations for what should be happening (the criterion).,0
561477,"Ali reportedly assumed the operatives he was helping were involved in a big operation in the United States, he did not know the details.","ali assumed operatives he <strong>helping</strong> helping were involved in the us operation , but did not know details .","ali assumed operatives he was helping were involved in the us operation, but did not know details.",1
460281,"""Your continued support of the law school is vital, not only in providing scholarships, but also in meeting a variety of needs ranging from purchasing additional computer terminals to travel for our moot court team.""",`` your support of the law school is vital in providing scholarships and meeting needs ranging from purchasing computer terminals to travel for <strong>continued</strong> court . '',"""your support of the law school is vital in providing scholarships and meeting needs ranging from purchasing computer terminals to travel for moot court.""",1
1430686,"There was former Clinton aide George Stephanopoulos on ABC's This Week this morning, furrow-browed and "" heartbroken with all the evidence coming out "" against the president.","there was george stephanopoulos on abc 's this <strong>evidence</strong> , `` heartbroken with all the <strong>week</strong> coming out '' against the president .","there was george stephanopoulos on abc's this week, ""heartbroken with all the evidence coming out"" against the president.",0
893360,"In parts of the Southwest, children were disciplined by parents who narrated scary stories of The Black Hand. If they didn't behave or do as they were told, La Mano Negra would take them away.","in parts <strong>in</strong> the southwest , children were told stories of the black hand . if they did n't behave , parents said la mano negra would take them .","in parts of the southwest, children were told stories of the black hand. if they didn't behave, parents said la mano negra would take them.  ",1
281116,"The sound belongs at a railroad crossing in Kankakee, near the fatal Amtrak crash in Bourbonnais, Ill., said a local resident.","a resident stated , sound should be at the <strong>belongs</strong> in kankakee after the fatal amtrak crash .","a resident stated, sound should be at the crossing in kankakee after the fatal amtrak crash.",0
231352,"I hope you don't find this too personal or indelicate a subject for public consumption, but I am in a dilemma about a relationship.","hope this <strong>have</strong> n't too personal a subject for public consumption , but i <strong>is</strong> a relationship dilemma .","hope this isn't too personal a subject for public consumption, but i have a relationship dilemma.",1
1127652,FBI agents and analysts in the field need to have sustained support and dedicated resources to become stronger intelligence officers. They need to be rewarded for acquiring informants and for gathering and disseminating information differently and more broadly than usual in a traditional criminal invetigation.,fbi agents and analysts <strong>for</strong> the field need support and resources to be more successful . they need incentives for acquiring informants and for gathering and disseminating information better than in a traditional investigation .,fbi agents and analysts in the field need support and resources to be more successful. they need incentives for acquiring informants and for gathering and disseminating information better than in a traditional investigation.,1
1531136,"Generally, they are halved lengthwise, the seeds and fibrous pulp removed and the flesh sliced into crescents.","they are halved <strong>seeds</strong> , the seeds and pulp removed and the flesh sliced .","they are halved lengthwise, the seeds and pulp removed and the flesh sliced.",0
396329,"Our goal is to replace the product on the retail shelf as quickly as possible, because that's where the consumer buys it.",our goal is to replace products on shelves quickly since that 's where its <strong>buys</strong> .,our goal is to replace products on shelves quickly since that's where its bought.,1
1572619,"Second, most firms gather sales data, not demand data. Customers rarely inform the sales clerk in a typical retail store if a desired product is out of stock; they either buy a different product or leave the store without making a purchase.","secondly , firms <strong>demand</strong> sales data , not <strong>gather</strong> data . customers rarely inform clerks in a retail store if a product is out of stock ; they either buy a different product or leave .","secondly, firms gather sales data, not demand data.  customers rarely inform clerks in a retail store if a product is out of stock; they either buy a different product or leave.",1
1493710,"As mail volume increases in postal systems, variable costs (processing and transportation) increase and fixed costs decrease as a percentage of total costs. Therefore, street delivery costs, which are largely fixed, decrease as a percentage of total costs as volume increases.","as mail volume increases in postal systems , variable costs increase and fixed costs decrease . therefore , street <strong>street</strong> costs decrease as a percentage of total costs as volume increases .","as mail volume increases in postal systems, variable costs increase and fixed costs decrease. therefore, street delivery costs decrease as a percentage of total costs as volume increases.",0
868091,Heralding ground breaking achievement is a delightful task. Indiana University has been at the forefront of discovery on many occasions and the School of Medicine has been a tremendous contributor to the reputation of excellence Indiana University enjoys.,inu has <strong>enjoyseses</strong> at the forefront of discovery on many occasions and the school of medicine has been a tremendous contributor to the reputation of excellence inu <strong>been</strong> .,inu has been at the forefront of discovery on many occasions and the school of medicine has been a tremendous contributor to the reputation of excellence inu enjoys.,1
1148788,"As a part of its effort to encourage and promote innovative procedures, LSC is producing a listing of draft characteristics of ideal telephone intake, advice, and referral systems. LSC and its OIG have, for many years, been committed to promoting these systems.","as a part of its effort to encourage and promote innovative procedures , lsc is producing a listing <strong>for</strong> draft characteristics of ideal telephone intake , advice , and referral systems .","as a part of its effort to encourage and promote innovative procedures, lsc is producing a listing of draft characteristics of ideal telephone intake, advice, and referral systems.",0
37934,Just because rural Chinese and African people may not need high dairy consumption to be healthy does not mean that Americans should be discouraged from drinking milk.,just because rural chinese and africans may not need high <strong>africans</strong> consumption does not mean that americans should avoid milk .,just because rural chinese and africans may not need high dairy consumption does not mean that americans should avoid milk.,1
777925,"However you choose to participate, I know you'll enjoy being a part of the Herron School of Art and Gallery. Join today by completing the form in the membership brochure and return it with your check made payable to Herron School of Art-IUF.",you 'll enjoy being part of herron school of art & gallery . join <strong>brochure</strong> . complete the form in the member brochure & return it with your check -lrb- payable to herron school of art-iuf -rrb- .,you'll enjoy being part of herron school of art & gallery. join today. complete the form in the member brochure & return it with your check (payable to herron school of art-iuf).,1
1113978,"From Chapter 2, roughly 1,125 tons of steel is needed for a 500 MWe FGD system, which is about 2.25 tons per MWe. This is conservatively high since there are some significant synergies possible when there are multiple units on site.","1,125 tons of steel is needed <strong>per</strong> a 500 mwe fgd system , that 's 2.25 tons per mwe . this is high since there are some synergies possible when there are multiple units on site .","1,125 tons of steel is needed for a 500 mwe fgd system, that's 2.25 tons per mwe. this is high since there are some synergies possible when there are multiple units on site. ",1
